experiment_id,sample_id,sample_storage_days,rin_score,reagent_age_days,calibration_gap_days,room_temp_variance,operator_experience_years,previous_operator_failure_rate,run_duration_minutes,contamination_flag,outcome
67,SMP067,27,7.27,40,85,3.30,7.5,0.123,127,0,1
68,SMP068,17,6.61,58,74,1.26,5.6,0.011,108,0,1
69,SMP069,18,9.61,53,54,1.90,10.2,0.252,86,0,1
70,SMP070,23,7.21,57,34,0.59,0.7,0.012,138,1,1
71,SMP071,30,6.80,50,2,2.97,0.9,0.112,114,1,1
72,SMP072,28,7.03,18,25,2.27,4.6,0.232,107,0,0
73,SMP073,27,6.62,59,84,3.37,8.4,0.255,122,0,0
74,SMP074,3,8.05,49,21,3.23,7.9,0.208,84,0,1
75,SMP075,26,8.92,24,52,3.35,8.9,0.032,130,1,0
76,SMP076,17,9.81,7,61,0.63,1.9,0.191,116,0,0
77,SMP077,11,5.64,38,69,4.15,3.3,0.208,108,0,1
78,SMP078,24,8.71,25,75,4.08,10.5,0.098,108,0,0
79,SMP079,10,5.57,35,49,4.35,2.5,0.047,80,0,1
80,SMP080,21,6.78,46,66,1.96,6.9,0.036,111,0,0
81,SMP081,20,9.62,38,29,3.44,7.7,0.126,126,0,1
82,SMP082,13,5.36,9,45,0.62,7.3,0.102,109,0,0
83,SMP083,23,9.41,11,22,3.19,6.9,0.067,81,0,1
84,SMP084,4,6.49,9,71,2.47,1.7,0.052,99,0,0
85,SMP085,4,5.26,57,49,4.10,9.2,0.202,115,0,1
86,SMP086,4,6.00,41,68,3.47,5.1,0.033,80,0,1
87,SMP087,4,9.29,59,27,2.80,10.2,0.053,127,0,0
88,SMP088,24,5.28,58,56,1.26,1.6,0.306,115,0,1
89,SMP089,25,9.84,22,82,2.35,6.3,0.161,126,0,1
90,SMP090,1,6.14,3,49,2.74,2.3,0.077,114,0,1
91,SMP091,11,7.85,47,13,2.07,5.9,0.173,84,0,1
92,SMP092,24,5.03,43,50,3.03,5.4,0.180,101,0,1
93,SMP093,30,7.53,36,41,2.31,9.7,0.087,111,0,1
94,SMP094,15,8.04,37,20,1.52,6.8,0.126,82,0,0
95,SMP095,19,8.01,11,3,3.12,2.3,0.296,93,0,1
96,SMP096,23,6.67,24,86,2.90,1.9,0.273,138,0,1
97,SMP097,2,5.47,22,46,2.42,9.1,0.274,128,0,1
98,SMP098,16,5.20,36,80,2.87,3.7,0.264,95,0,1
99,SMP099,14,7.54,10,21,3.30,8.6,0.295,98,0,1
100,SMP100,4,8.34,58,71,0.75,10.0,0.174,133,0,1
101,SMP101,1,8.11,2,21,0.80,7.5,0.090,94,0,0
102,SMP102,25,7.48,3,64,2.19,10.3,0.206,98,0,0
103,SMP103,23,6.98,44,42,0.91,1.9,0.125,110,0,1
104,SMP104,21,6.65,37,2,1.52,2.9,0.147,112,0,0
105,SMP105,19,8.52,40,14,3.72,6.2,0.140,107,1,1
106,SMP106,1,6.51,27,30,1.73,5.9,0.251,102,0,1
107,SMP107,7,5.50,50,73,2.78,4.8,0.138,130,1,0
108,SMP108,11,5.06,2,5,1.26,8.6,0.152,136,0,1
109,SMP109,1,7.03,58,50,4.08,8.7,0.134,116,0,0
110,SMP110,29,9.60,44,81,1.68,8.3,0.011,120,0,1
111,SMP111,16,8.57,4,11,2.12,7.4,0.083,88,1,1
112,SMP112,19,7.73,53,65,4.39,7.7,0.208,88,0,0
113,SMP113,8,6.74,60,86,3.54,9.9,0.139,99,0,1
114,SMP114,26,9.49,57,2,1.58,3.5,0.210,107,0,1
115,SMP115,26,7.44,54,87,1.05,8.6,0.199,123,0,1
116,SMP116,27,7.65,59,29,3.00,2.4,0.027,123,0,1
117,SMP117,19,5.39,36,63,3.36,5.4,0.102,84,0,1
118,SMP118,10,9.31,20,7,2.05,7.6,0.121,123,0,1
119,SMP119,22,6.20,2,36,4.12,3.9,0.011,139,1,1
120,SMP120,8,7.41,39,70,4.29,4.6,0.069,125,0,1
121,SMP121,18,6.61,53,41,2.81,6.0,0.015,106,0,1
122,SMP122,8,6.18,28,51,2.26,5.7,0.095,131,0,1
123,SMP123,10,5.30,21,47,2.86,4.3,0.048,110,0,0
124,SMP124,13,7.82,36,23,2.35,6.3,0.162,127,0,1
125,SMP125,30,6.80,50,3,3.16,3.0,0.082,107,0,1
126,SMP126,15,5.46,2,77,1.27,4.6,0.144,81,0,1
127,SMP127,8,6.04,15,56,1.91,9.5,0.142,110,0,1
128,SMP128,27,9.54,54,70,1.12,5.1,0.267,133,1,1
129,SMP129,23,8.95,40,87,3.68,1.5,0.044,96,0,0
130,SMP130,1,7.55,29,77,3.73,5.5,0.028,128,1,1
131,SMP131,28,9.18,28,71,2.75,5.0,0.178,107,0,1
132,SMP132,12,9.66,34,90,1.75,6.2,0.288,134,0,0
133,SMP133,5,7.71,14,45,3.64,5.0,0.278,87,1,0
134,SMP134,5,6.35,53,49,0.85,8.7,0.264,125,0,0
135,SMP135,20,5.10,7,45,1.00,2.0,0.128,109,0,0
136,SMP136,18,8.00,15,38,1.98,6.4,0.257,101,0,1
137,SMP137,12,7.40,18,2,1.26,9.7,0.013,97,0,1
138,SMP138,26,9.42,53,65,4.33,7.0,0.116,129,0,1
139,SMP139,8,8.11,20,66,3.14,1.9,0.220,85,0,1
140,SMP140,11,6.40,23,2,4.36,8.3,0.013,122,0,1
141,SMP141,9,6.69,52,24,3.42,9.2,0.061,94,0,1
142,SMP142,4,8.45,8,48,1.67,9.2,0.147,120,0,0
143,SMP143,14,9.97,35,81,3.51,1.3,0.046,102,0,1
144,SMP144,11,8.52,26,5,4.22,5.7,0.252,108,1,1
145,SMP145,3,5.92,42,86,3.07,4.1,0.278,102,0,1
146,SMP146,7,5.62,60,50,3.65,3.5,0.045,121,0,1
147,SMP147,11,5.71,39,70,4.19,3.6,0.251,84,1,1
148,SMP148,15,5.02,37,90,1.16,8.9,0.225,83,0,1
149,SMP149,7,7.54,54,81,3.85,5.4,0.291,93,0,1
150,SMP150,23,8.10,51,33,1.57,3.1,0.155,119,0,0
151,SMP151,25,9.58,10,5,3.64,8.2,0.156,87,0,1
152,SMP152,12,5.91,44,6,1.00,5.1,0.284,91,0,1
153,SMP153,12,5.59,24,55,3.95,5.4,0.268,130,0,1
154,SMP154,17,6.56,57,67,4.14,3.7,0.274,105,0,0
155,SMP155,25,6.20,47,12,1.78,2.8,0.063,91,0,1
156,SMP156,1,5.50,26,73,3.63,5.4,0.034,136,0,1
157,SMP157,25,5.15,45,54,3.58,1.1,0.012,130,0,1
158,SMP158,2,8.40,13,3,2.52,4.9,0.210,81,0,1
159,SMP159,26,5.11,32,47,0.73,7.8,0.148,87,0,1
160,SMP160,1,9.18,10,27,4.49,1.5,0.168,99,0,0
161,SMP161,15,5.50,4,87,3.11,4.3,0.287,109,0,1
162,SMP162,22,8.63,29,17,2.43,9.2,0.287,139,0,1
163,SMP163,5,9.90,25,13,2.33,9.2,0.297,91,0,1
164,SMP164,19,9.17,18,87,4.31,9.1,0.141,116,0,1
165,SMP165,17,9.18,33,16,1.43,7.2,0.198,88,0,1
166,SMP166,19,6.08,16,62,2.94,0.6,0.072,81,0,0
167,SMP167,26,7.78,13,32,1.00,6.3,0.169,134,1,1
168,SMP168,25,6.92,27,2,3.64,9.2,0.010,103,1,1
169,SMP169,2,7.64,29,74,3.06,8.0,0.262,136,0,0
170,SMP170,21,6.50,27,31,1.86,7.4,0.145,90,0,1
171,SMP171,7,6.63,57,66,3.84,10.3,0.125,138,0,1
172,SMP172,24,7.68,19,83,3.11,5.7,0.206,122,0,1
173,SMP173,27,6.42,46,84,2.01,1.5,0.121,113,0,1
174,SMP174,28,9.31,34,22,2.44,7.7,0.048,109,0,1
175,SMP175,29,6.10,18,73,1.05,3.3,0.306,85,0,1
176,SMP176,29,9.57,41,58,1.18,9.8,0.056,138,0,0
177,SMP177,9,5.30,30,25,4.12,7.4,0.237,122,0,0
178,SMP178,7,7.32,41,90,4.27,7.8,0.257,135,0,1
179,SMP179,16,8.14,35,86,0.74,5.0,0.023,133,0,1
180,SMP180,7,8.43,45,56,4.02,6.0,0.044,135,0,1
181,SMP181,19,8.72,50,78,3.86,6.8,0.192,89,1,0
182,SMP182,11,5.13,7,39,3.76,8.6,0.191,115,0,1
183,SMP183,21,5.36,16,9,3.24,2.0,0.211,135,0,0
184,SMP184,4,5.41,3,87,3.31,6.7,0.305,83,0,1
185,SMP185,11,6.71,41,30,3.05,2.5,0.032,126,0,1
186,SMP186,8,8.68,58,51,4.25,0.6,0.078,86,1,0
187,SMP187,22,6.75,37,89,0.98,6.8,0.251,86,0,1
188,SMP188,29,6.12,19,79,2.24,6.1,0.157,126,0,1
189,SMP189,17,7.64,57,14,4.05,10.5,0.109,119,0,1
190,SMP190,17,6.53,53,42,3.16,10.0,0.232,131,0,1
191,SMP191,19,9.11,15,68,0.55,8.6,0.020,123,0,1
192,SMP192,14,5.55,10,45,4.36,4.0,0.260,88,0,1
193,SMP193,29,6.09,16,60,2.48,5.6,0.023,121,0,1
194,SMP194,17,7.60,59,30,3.24,5.0,0.076,123,1,1
195,SMP195,30,7.98,59,11,3.09,9.4,0.158,128,0,0
196,SMP196,26,6.92,22,56,0.58,3.0,0.069,93,0,0
197,SMP197,25,8.79,22,49,2.84,3.7,0.267,98,0,0
198,SMP198,11,7.82,45,4,4.31,7.0,0.133,85,0,1
199,SMP199,4,6.80,27,14,2.19,7.1,0.014,85,0,1
200,SMP200,30,7.01,2,86,3.14,5.0,0.085,134,0,1
201,SMP201,8,6.47,41,46,2.45,9.8,0.062,85,1,1
202,SMP202,29,8.84,58,42,2.29,9.1,0.296,91,0,1
203,SMP203,26,9.38,47,25,0.62,3.7,0.170,122,1,1
204,SMP204,7,9.63,60,17,4.20,1.3,0.204,138,1,1
205,SMP205,15,8.63,14,85,0.56,3.2,0.096,118,0,1
206,SMP206,26,9.91,20,62,2.33,2.7,0.227,137,0,1
207,SMP207,30,8.55,38,88,0.56,2.0,0.225,87,0,1
208,SMP208,9,7.80,60,26,2.25,3.8,0.116,126,0,1
209,SMP209,6,8.45,57,57,1.75,7.3,0.154,100,0,1
210,SMP210,15,9.68,16,43,2.82,5.5,0.231,91,0,0
211,SMP211,15,5.21,44,45,1.75,1.3,0.141,137,0,1
212,SMP212,19,9.46,37,37,1.18,6.9,0.222,116,1,1
213,SMP213,22,8.01,49,25,4.17,8.2,0.040,91,0,1
214,SMP214,23,7.47,14,58,2.65,8.1,0.071,123,0,1
215,SMP215,22,8.78,36,63,3.30,4.7,0.304,118,0,1
216,SMP216,29,9.86,4,33,2.99,0.9,0.114,116,1,0
217,SMP217,6,9.49,56,82,3.61,2.1,0.156,136,0,1
218,SMP218,20,9.06,6,2,3.72,10.2,0.148,102,0,1
219,SMP219,22,5.99,52,61,3.69,10.2,0.148,103,0,1
220,SMP220,19,5.75,52,78,3.47,1.6,0.104,94,0,1
221,SMP221,9,7.53,44,9,1.66,2.2,0.309,107,0,0
222,SMP222,25,7.99,35,7,3.10,0.8,0.072,136,0,1
223,SMP223,17,5.25,38,90,0.76,4.1,0.190,134,0,0
224,SMP224,10,6.03,5,69,2.82,6.6,0.108,127,1,1
225,SMP225,26,7.58,4,69,2.99,8.8,0.091,132,0,0
226,SMP226,28,6.03,19,85,3.58,0.7,0.254,139,0,1
227,SMP227,7,8.91,15,78,2.85,4.0,0.302,129,0,1
228,SMP228,27,9.67,2,28,2.43,5.4,0.304,106,0,0
229,SMP229,18,8.29,33,64,4.11,4.5,0.105,102,1,1
230,SMP230,4,7.55,12,42,3.38,2.6,0.275,127,0,0
231,SMP231,30,6.72,48,81,1.03,10.2,0.140,96,0,1
232,SMP232,24,9.03,40,81,2.52,8.7,0.192,113,1,0
233,SMP233,30,6.81,53,24,3.31,7.8,0.170,108,0,1
234,SMP234,13,7.21,56,27,3.27,6.4,0.265,109,1,1
235,SMP235,10,7.87,56,84,3.82,4.3,0.139,139,0,1
236,SMP236,6,8.16,35,86,0.72,4.7,0.284,99,1,1
237,SMP237,1,5.69,39,71,0.57,7.7,0.179,118,0,1
238,SMP238,15,9.60,10,1,2.80,9.1,0.178,93,0,1
239,SMP239,17,5.20,32,47,4.49,4.9,0.071,121,1,0
240,SMP240,25,5.95,31,2,2.57,5.9,0.061,93,0,0
241,SMP241,15,8.44,60,78,1.95,2.8,0.021,110,0,1
242,SMP242,30,9.92,57,67,4.06,2.8,0.147,116,0,1
243,SMP243,19,7.60,45,12,2.27,8.7,0.243,105,0,1
244,SMP244,18,6.18,24,23,0.83,7.1,0.025,96,0,0
245,SMP245,12,6.64,29,40,3.39,3.6,0.125,138,0,1
246,SMP246,30,6.47,35,87,0.90,6.6,0.237,137,0,1
247,SMP247,26,6.32,45,84,2.10,2.7,0.275,125,0,1
248,SMP248,8,7.83,7,74,3.63,5.1,0.297,103,0,1
249,SMP249,13,5.27,1,82,2.39,7.1,0.273,104,0,1
250,SMP250,16,7.18,36,58,2.13,1.8,0.144,130,0,1
251,SMP251,27,7.04,23,58,0.76,4.7,0.281,95,0,0
252,SMP252,14,5.68,22,36,4.09,3.5,0.249,85,0,0
253,SMP253,7,8.98,21,32,3.32,5.3,0.092,136,1,1
254,SMP254,28,5.45,42,18,4.11,9.7,0.283,126,0,1
255,SMP255,22,6.68,30,40,3.42,3.8,0.147,97,0,1
256,SMP256,18,5.72,1,58,1.10,8.9,0.233,91,0,0
257,SMP257,18,6.88,10,58,3.54,9.2,0.026,119,0,1
258,SMP258,9,5.77,57,21,1.89,0.9,0.056,119,0,0
259,SMP259,21,7.12,3,85,2.69,9.9,0.021,102,0,1
260,SMP260,20,7.53,36,43,2.78,4.8,0.145,137,0,0
261,SMP261,28,9.18,28,73,2.97,7.3,0.176,123,1,1
262,SMP262,5,5.02,32,55,2.41,6.1,0.118,87,0,1
263,SMP263,7,9.76,7,65,1.40,10.4,0.090,101,0,1
264,SMP264,23,9.11,55,5,2.66,6.1,0.056,85,0,1
265,SMP265,8,8.20,28,31,1.86,7.3,0.128,135,0,1
266,SMP266,13,5.53,16,89,1.10,8.4,0.157,85,1,1
267,SMP267,28,9.77,59,4,1.58,2.8,0.104,133,0,1
268,SMP268,30,5.70,48,50,1.89,1.6,0.155,85,0,1
269,SMP269,18,5.27,32,46,4.19,1.5,0.227,99,0,1
270,SMP270,11,8.78,42,16,3.71,5.5,0.031,131,0,1
271,SMP271,12,5.32,12,70,1.68,2.0,0.274,136,0,1
272,SMP272,1,9.17,6,84,2.06,2.1,0.195,116,0,0
273,SMP273,17,5.04,25,2,3.91,2.7,0.172,82,0,1
274,SMP274,15,9.05,38,66,3.54,6.5,0.231,132,0,0
275,SMP275,12,6.89,46,59,4.50,0.8,0.059,123,0,1
276,SMP276,4,5.69,18,4,1.82,5.8,0.206,120,0,0
277,SMP277,4,6.47,10,85,1.27,2.0,0.058,101,0,1
278,SMP278,30,5.74,47,37,3.35,4.0,0.190,137,1,1
279,SMP279,2,6.48,19,61,2.22,1.8,0.115,102,0,1
280,SMP280,5,9.77,22,84,2.68,10.1,0.055,133,1,0
281,SMP281,29,6.30,27,38,3.49,5.5,0.089,128,0,1
282,SMP282,17,5.79,9,21,3.27,8.5,0.284,90,0,0
283,SMP283,29,7.57,46,25,0.87,6.8,0.273,109,0,1
284,SMP284,24,9.95,35,84,4.03,6.9,0.181,134,1,1
285,SMP285,7,6.91,17,23,2.20,4.2,0.176,120,0,1
286,SMP286,27,6.01,25,38,3.94,1.1,0.227,105,1,1
287,SMP287,7,5.84,12,44,3.89,8.2,0.106,96,0,1
288,SMP288,10,8.14,11,3,2.94,10.0,0.290,128,0,1
289,SMP289,9,5.05,12,87,1.38,2.6,0.124,96,0,1
290,SMP290,15,5.34,54,22,2.55,9.1,0.238,93,0,1
291,SMP291,26,8.98,29,86,1.92,9.7,0.174,137,0,1
292,SMP292,14,6.16,50,43,3.85,8.3,0.132,120,0,1
293,SMP293,1,6.89,49,80,0.55,4.6,0.013,128,0,1
294,SMP294,27,5.21,32,46,4.29,2.7,0.090,120,0,1
295,SMP295,24,9.07,47,36,3.19,2.3,0.277,134,1,1
296,SMP296,20,6.11,12,30,0.76,3.8,0.140,91,0,1
297,SMP297,2,8.67,34,53,1.58,6.4,0.048,131,1,0
298,SMP298,23,7.33,3,73,4.18,2.2,0.038,137,0,1
299,SMP299,15,8.05,38,26,2.70,9.5,0.271,117,0,1
300,SMP300,13,8.37,7,48,1.79,0.7,0.046,113,0,1
